POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Year
87,Deepak Chahar,3,3,7,74,1,Jan-35,74,10.57,42,0,0,2017
88,Yuvraj Singh,12,2,2,22,1,6-Jan,22,11,12,0,0,2017
89,Carlos Brathwaite,2,2,6,67,1,Jan-38,67,11.16,36,0,0,2017
90,Ashok Dinda,3,3,10,119,1,26-Jan,119,11.9,60,0,0,2017
91,Matt Henry,2,2,5,71,1,31-Jan,71,14.2,30,0,0,2017
92,Jayant Yadav,2,2,6,42,0,0/16,0,7,0,0,0,2017
93,Tejas Baroka,1,1,3.3,33,0,0/33,0,9.42,0,0,0,2017
94,Ishant Sharma,6,6,18,179,0,0/12,0,9.94,0,0,0,2017
95,Shakib Al Hasan,1,1,3,31,0,0/31,0,10.33,0,0,0,2017
96,Shadab Jakati,2,2,5,52,0,0/22,0,10.4,0,0,0,2017
97,Angelo Mathews,3,2,5,56,0,0/15,0,11.2,0,0,0,2017
98,Marlon Samuels,5,2,3,34,0,0/12,0,11.33,0,0,0,2017
99,Rahul Tripathi,14,1,1,12,0,0/12,0,12,0,0,0,2017
100,Mustafizur Rahman,1,1,2.4,34,0,0/34,0,12.75,0,0,0,2017
101,Anureet Singh,1,1,2,26,0,0/26,0,13,0,0,0,2017
102,Irfan Pathan,1,1,2,26,0,0/26,0,13,0,0,0,2017
103,Barinder Sran,1,1,2,29,0,0/29,0,14.5,0,0,0,2017
104,Manpreet Gony,1,1,2,32,0,0/32,0,16,0,0,0,2017
105,Ankit Sharma,1,1,1,16,0,0/16,0,16,0,0,0,2017
106,Kieron Pollard,17,1,1.5,30,0,0/30,0,16.36,0,0,0,2017
